101. GraphQL Summit , 27 October, 2020,San Francisco, USA,Paid,https://summit.graphql.com/
102. React Day Norway, 26 June, 2020,Larvik,  Norway,Paid,https://reactnorway.com/
103. Cloud Native Security Day, 30 March, 2020,Amsterdam,The Netherlands,Paid,https://events.linuxfoundation.org/cloud-native-security-day/
104. AWS Innovate Online Conference, 19 Feb, 2020,,,Free,https://aws.amazon.com/events/aws-innovate/machine-learning/
105. Redis Day Bangalore, 21 Jan, 2020,Bangalore,India,Free,https://connect.redislabs.com/redisdaybangalore
106. WineWorks, 22 Jan, 2020,San Francisco,USA,Free,https://www.papercall.io/osqueryatscale-cfp
107. AWS Community Day, 31 Jan, 2020,Stockholm,Swedan,Free,https://awscommunitynordics.org/communityday/
108. International Conference On Internet Of Things Big Data Analytics And Information Technology, 01 Feb, 2020,Chennai, India,Free,https://www.allconferencealert.com/event-detail.html?ev_id=357894&eventname=international-conference-on-internet-of-things-big-data-analytics-and-information-technology(icitbdit--2020)
109. International Conference On Big Data IoT Cyber Security And Information Technology, 02 Feb, 2020,New Delhi, India,Free,https://www.allconferencealert.com/event-detail.html?ev_id=353891&eventname=international-conference-on-big-data-iot-cyber-security-and-information-technology-(icbdicsit)
110. ChiBrrCon 2020, 04 Feb, 2020,Chicago,USA,Free,https://www.papercall.io/chibrrcon2020
111. DATACLOUD INDIA 2020, 05 Feb, 2020,Mumbai,India,Free,https://www.datacloudindia.com/
112. NIC 20 20 Vision Edition, 06 Feb, 2020,Oslo,Norway,Free,https://www.papercall.io/nic2020
113. PyCascades 2020, 08 Feb, 2020,Portland,USA,Free,https://www.papercall.io/pycascades-2020
114. BSidesSF 2020, 23 Feb, 2020,San Francisco,USA,Free,https://www.papercall.io/bsidessf-2020
115. PyTennessee 2020, 07 Mar, 2020,Nashville,USA,Free,https://www.papercall.io/pytn-2020
116. WeRockIT Developers Conference 2020, 26 Mar, 2020,Huntsville,USA,Free,https://www.papercall.io/werockitconf2020
117.  Connectaha 2020, 27 Mar, 2020,Omaha,USA,Free,https://www.papercall.io/connectaha-2020
118. DevOpsDays Vancouver 2020, 30 Mar, 2020,Vancover,Canada,Free,https://www.papercall.io/devopsdays-vancouver-2020
119. Microsoft Ignite The Tour 2019 2020, 02 Apr, 2020,Mumbai, India,Free,https://www.microsoft.com/en-us/ignite-the-tour/
120.  NET Fwdays, 11 Apr, 2020,Kyiv, Ukraine,Free,https://fwdays.com/en/event/dotnet-fwdays-2020
121. 403 Forbidden, 27 Apr, 2020,,Austin ,Free,https://saucecon.com
122.  PHP Fwdays, 30 May, 2020,Kyiv, Ukraine,Free,https://fwdays.com/en/event/php-fwdays-2020
123. Devopscon, 08 Jun, 2020,,Berlin,Free,https://devopscon.io/berlin/
124. Amazon Alexa VOICE, 05 Oct, 2020,Washington D.C., USA,Free,https://www.voicesummit.ai/
125. Voice Meetup: what3words edition with Speechmatics | Meetup, 28 January, 2020, London, United Kingdom,Free,https://www.meetup.com/Messaging-Bots-London/events/267294132/
126. Cambridge Alexa Developers Meetup, 12 February, 2020, Cambridge ,  United Kingdom,Free,https://www.meetup.com/Cambridge-Alexa-Developers-Meetup/
127. Amazon Alexa Paris, 16 February, 2020, Paris ,  France,Free,https://www.meetup.com/Amazon-Alexa-Paris/
128. Women in Data Science Pune Conference, 29 February, 2020, Pune ,  India,Free,https://widspune.com/
129. MATLAB EXPO 2020 India, 21 April, 2020,Bangalore, India,Free,https://www.matlabexpo.com/in/2020/bangalore/agenda.html
130. MATLAB EXPO 2020 India, 23 April, 2020,Chennai, India,Free,https://www.matlabexpo.com/in/2020/chennai/agenda.html
131. MATLAB EXPO 2020 India, 28 April, 2020,Pune, India,Free,https://www.matlabexpo.com/in/2020/pune/agenda.html
